id,value
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Coaches and Scouts",1.9.17
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Umpires, Referees, and Other Sports Officials",1.9.18
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Dancers",1.9.19
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Choreographers",1.9.20
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Music Directors and Composers",1.9.21
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Musicians and Singers",1.9.22
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Disc Jockeys, Except Radio",1.9.23
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Entertainers and Performers, Sports and Related Workers, All Other",1.9.24
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Broadcast Announcers and Radio Disc Jockeys",1.9.25
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.News Analysts, Reporters, and Journalists",1.9.26
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Public Relations Specialists",1.9.27
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Editors",1.9.28
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Technical Writers",1.9.29
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Writers and Authors",1.9.30
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Interpreters and Translators",1.9.31
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Court Reporters and Simultaneous Captioners",1.9.32
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Media and Communication Workers, All Other",1.9.33
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Audio and Video Technicians",1.9.34
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Broadcast Technicians",1.9.35
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Sound Engineering Technicians",1.9.36
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Lighting Technicians",1.9.37
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Photographers",1.9.38
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Camera Operators, Television, Video, and Film",1.9.39
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Film and Video Editors",1.9.40
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Media and Communication Equipment Workers, All Other",1.9.41
profession.Healthcare Practitioners and Technical Occupations,1.10
